age_from,age_to,mean_drift,median_drift,max_drift,num_nodes_all,num_nodes_non_iso,coverage,isolate_frac_from,isolate_frac_to
2,3,1.427968614631229,1.377963900566101,1.9845631122589111,46,9,0.1957,0.8043,0.5652
3,4,1.3745284214615823,0.8797096908092499,5.696718692779541,46,20,0.4348,0.5652,0.3478
4,5,1.2918390065431595,0.9875529408454895,4.976499080657959,46,30,0.6522,0.3478,0.1304
5,6,1.1473043793812394,0.8202823996543884,3.663059711456299,46,40,0.8696,0.1304,0.0435
6,7,1.1202753085729689,0.8571291565895081,3.459078073501587,46,43,0.9348,0.0435,0.0435
7,8,1.0094172995198856,0.739580899477005,3.1641178131103516,46,44,0.9565,0.0435,0.0435
