age_from,age_to,mean_drift,median_drift,max_drift,num_nodes
1,2,0.609665469083659,0.07058429718017578,6.339224338531494,1080
2,3,0.5659442252445,0.07225221395492554,5.859961986541748,1080
3,4,0.5749216751402451,0.07279613986611366,6.280659198760986,1080
4,5,0.8199617258824959,0.07449034973978996,5.888759613037109,1080
5,6,0.8292456028431102,0.07445686310529709,6.659866809844971,1080
6,7,0.8519151874990375,0.07504606619477272,5.904333114624023,1080
7,8,0.8532999903550027,0.07520418986678123,6.825693130493164,1080
